Header:
MFRSR SPECTRAL RESPONSE TEST:

Instrument Data:
Serial_number	Vis469
Instrument_rev	Yes_Mk1
Owner	DOE-ARM

Test_Conditions_Data:
Testing_agency	DOE-ARM_SRMS
Test_System_rev	D
Test_date	5/25/2016
Test_day	146	[Day_of_year]
Test_conductor	Craig Webb
Source_Type	175 watt Xenon_ARC
Monochromator_slit	85	microns
Wavelength_registration_line	361.1652	[nm]
Wavelength_registration_position	431533	[steps]

Comment:	From Japan/Mike Reynolds

Channel	Wavelength	Signal	
900	605.5	-3.461397E-05	5.156748E-06
900	605.75	-2.751798E-05	5.582773E-06
900	606	-3.131684E-05	4.275472E-06
900	606.25	-3.160355E-05	3.771376E-06
900	606.5	-3.730184E-05	4.990299E-06
900	606.75	-3.719431E-05	4.701864E-06
900	607	-3.432725E-05	5.331857E-06
900	607.25	-3.135268E-05	4.377216E-06
900	607.5	-2.89515E-05	4.621813E-06
900	607.75	-2.92382E-05	3.702906E-06
900	608	-4.120819E-05	5.267254E-06
900	608.25	-4.296427E-05	2.741024E-06
900	608.5	-3.676424E-05	5.413612E-06
900	608.75	-3.62625E-05	4.313319E-06
900	609	-2.246475E-05	4.521737E-06
900	609.25	-4.16024E-05	4.749366E-06
900	609.5	-4.113651E-05	4.119135E-06
900	609.75	-4.690645E-05	3.823309E-06
900	610	-3.662087E-05	4.464628E-06
900	610.25	-3.66567E-05	5.278347E-06
900	610.5	-3.361045E-05	3.139573E-06
900	610.75	-3.214108E-05	3.468545E-06
900	611	-2.755376E-05	4.010489E-06
900	611.25	-3.389714E-05	5.643326E-06
900	611.5	-3.525901E-05	4.167474E-06
900	611.75	-3.887866E-05	4.326002E-06
900	612	-3.654917E-05	3.539107E-06
900	612.25	-4.049137E-05	6.278236E-06
900	612.5	-2.977573E-05	4.909783E-06
900	612.75	-2.612023E-05	4.379997E-06
900	613	-3.633412E-05	4.42005E-06
900	613.25	-3.389713E-05	5.645962E-06
900	613.5	-2.859304E-05	6.894668E-06
900	613.75	-2.8163E-05	5.302447E-06
900	614	-2.5726E-05	5.204656E-06
900	614.25	-2.504507E-05	4.881242E-06
900	614.5	-3.271446E-05	5.07326E-06
900	614.75	-2.554681E-05	5.491054E-06
900	615	-2.414911E-05	5.813839E-06
900	615.25	-4.009712E-05	4.844366E-06
900	615.5	-3.307283E-05	6.160159E-06
900	615.75	-3.626243E-05	3.52725E-06
900	616	-3.604739E-05	3.374571E-06
900	616.25	-4.11006E-05	3.711829E-06
900	616.5	-3.712255E-05	4.298066E-06
900	616.75	-2.90231E-05	3.505213E-06
900	617	-3.271444E-05	5.471068E-06
900	617.25	-3.22127E-05	4.624396E-06
900	617.5	-3.68E-05	3.51369E-06
900	617.75	-3.149593E-05	6.55494E-06
900	618	-3.253524E-05	5.063106E-06
900	618.25	-3.120924E-05	4.401282E-06
900	618.5	-2.400575E-05	3.873827E-06
900	618.75	-2.296644E-05	4.975338E-06
900	619	-2.884392E-05	4.38896E-06
900	619.25	-3.368208E-05	5.963259E-06
900	619.5	-3.852024E-05	6.474973E-06
900	619.75	-3.178265E-05	3.916947E-06
900	620	-3.69792E-05	3.943346E-06
900	620.25	-2.737454E-05	3.934433E-06
900	620.5	-3.411213E-05	5.246057E-06
900	620.75	-2.536761E-05	3.444802E-06
900	621	-3.593989E-05	5.397738E-06
900	621.25	-2.977572E-05	5.445762E-06
900	621.5	-3.400462E-05	7.800319E-06
900	621.75	-3.636995E-05	4.130304E-06
900	622	-4.099309E-05	6.813048E-06
900	622.25	-3.507978E-05	3.807671E-06
900	622.5	-3.214105E-05	3.830727E-06
900	622.75	-2.948902E-05	3.054041E-06
900	623	-3.898615E-05	3.881171E-06
900	623.25	-3.672835E-05	5.529876E-06
900	623.5	-3.128093E-05	5.561169E-06
900	623.75	-3.15318E-05	4.11693E-06
900	624	-3.93087E-05	5.728692E-06
900	624.25	-2.457918E-05	3.760683E-06
900	624.5	-3.350291E-05	6.200699E-06
900	624.75	-3.185434E-05	3.832254E-06
900	625	-3.375377E-05	4.755443E-06
900	625.25	-3.249942E-05	7.951547E-06
900	625.5	-3.045665E-05	3.417896E-06
900	625.75	-3.074335E-05	4.592207E-06
900	626	-3.439885E-05	5.072939E-06
900	626.25	-2.866474E-05	4.784909E-06
900	626.5	-2.963237E-05	4.505352E-06
900	626.75	-3.045665E-05	3.201193E-06
900	627	-3.325202E-05	5.109196E-06
900	627.25	-3.368209E-05	3.795829E-06
900	627.5	-3.701504E-05	3.490463E-06
900	627.75	-3.443469E-05	3.038159E-06
900	628	-3.300115E-05	5.673634E-06
900	628.25	-3.117339E-05	6.203172E-06
900	628.5	-3.278613E-05	5.065828E-06
900	628.75	-3.672833E-05	4.867482E-06
900	629	-3.651329E-05	5.188476E-06
900	629.25	-4.024047E-05	5.183139E-06
900	629.5	-3.733757E-05	5.122444E-06
900	629.75	-3.769596E-05	3.595313E-06
